time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.88165338378e-08,3.14536183789e-06,10.0104165172,0.00073766424044,6.28317344629,0.0,-1.82421781435e-06,0.000195609311157,0.347176790703,0.0082847633639,-0.00132839203549,0.0,509.46832092791686,509.37335986918276,508.9448045196494,509.53726612102946
0.12000000000000001,-2.3738986504e-06,3.17130561344e-05,10.0303518353,0.00200238462275,0.00059979027784,0.0,-0.000134908782463,0.000870347808973,0.317342772202,-0.00258764051503,-0.0117154406616,0.0,394.2077366184977,393.24698058417556,394.1498475031466,393.14384451385644
0.18,-2.24265051456e-05,0.000189026573795,10.0570525616,0.0130010605803,6.28307134308,0.0,-0.000446216643231,0.00579520977045,0.572580085819,-0.0403924811901,-0.0132905072469,0.0,482.7976276276874,482.6789290532969,486.27833870374235,483.43859348836867
0.23999999999999996,-4.40361277099e-05,0.000808718122447,10.0934777923,0.0176826889687,6.28226828285,0.0,-0.0001961948268,0.0152895262062,0.641551334753,-0.0123682982773,-0.0136161846153,0.0,426.75317221893874,426.725484113176,426.7021146976399,429.0870293103913
0.3,-3.71479552234e-05,0.00209944092881,10.1345606061,0.0213680883246,6.28208446619,0.0,0.000434128910232,0.0281263602685,0.727816722486,-0.0366495297315,-0.0236150194481,0.0,434.5120206128404,433.67315599804374,432.92702610740633,430.8793928682712
0.36000000000000004,1.62580739991e-05,0.00427687023812,10.1820154006,0.0298690247625,6.28125798459,0.0,0.0014412131972,0.0453159894666,0.853902289262,-0.00199675180288,-0.0163127124864,0.0,445.9425252781783,446.53853346308887,443.79123831316906,446.62592237937633
0.4200000000000001,0.00014199826146,0.00760396418742,10.2358142239,0.0311077645657,6.28134777891,0.0,0.00275120123549,0.0656970182868,0.939321202337,0.00962770437005,-0.00612559483226,0.0,433.01823925216394,433.8743585318941,432.2751620609952,433.2534618878514
0.48000000000000015,0.000341654292069,0.0123302559403,10.2994619587,0.0326974240311,0.000894122557382,0.0,0.0035895391554,0.0920496981011,1.1820435767,-0.00265736241633,0.0119965280174,0.0,479.3809254578879,480.7558291778749,482.55567034445755,481.62744273936124
0.5400000000000001,0.000529122971528,0.0184961557401,10.3722691212,0.0339445283295,0.0035110140226,0.0,0.00239111373519,0.113586524222,1.24479038375,0.00918973901635,-0.00433922953087,0.0,427.0948723807398,425.6993876465988,426.0051301226785,427.01681975477277
0.6000000000000002,0.000587416760076,0.0260213140023,10.4499563016,0.0359843371135,0.00646898338606,0.0,-0.000770679259963,0.137470504384,1.34465942861,-0.0054285208914,-0.0252277817104,0.0,439.2801769534033,437.544856003561,439.2980313368101,438.08426464193104
0.6600000000000003,0.000401569859797,0.0350935569497,10.5352532966,0.0409948705449,0.00524026578673,0.0,-0.00529571935355,0.165510093613,1.49836148105,-0.0319621106368,-0.0323973429468,0.0,455.72639588807846,455.15284485130996,456.7708069752925,454.6501393234661
0.7200000000000003,-2.94068112861e-05,0.0459182659158,10.6294968133,0.0390925717275,0.00491772614547,0.0,-0.00902020513644,0.195097042477,1.64289940988,-0.0313479574177,-0.0195975967633,0.0,452.83978394258594,453.86794050855445,453.03083310345994,453.079865583408
0.7800000000000004,-0.000670779969404,0.0583946105052,10.7302009614,0.0381647374059,0.00591390472515,0.0,-0.0124411067438,0.220696714461,1.713802847,-0.0433094382828,-0.00460861369748,0.0,429.9731204044325,431.24108440053055,430.7632487346458,429.75003074158684
0.8400000000000004,-0.00156205320677,0.0725660408861,10.8400529625,0.0356173556162,0.00563054116923,0.0,-0.0172318077535,0.251356475927,1.94757217252,-0.0417559976722,-0.00502225815325,0.0,479.9617863582542,479.93048220561593,480.84381114852323,480.96061452587776
0.9000000000000005,-0.00275922028964,0.0884208659945,10.9612734105,0.0331342200561,0.0146787466085,0.0,-0.0236936993026,0.27686005267,2.09285374999,-0.0449829167208,-0.0397392373957,0.0,456.2673111647364,453.48732373739483,454.9350079743735,454.6756043910769
0.9600000000000005,-0.00440987611093,0.105556512152,11.085110551,0.0322134496011,0.0128795524535,0.0,-0.0311956556875,0.294269958276,2.03515903187,-0.0608401249303,-0.0494046861927,0.0,388.68792301312817,387.77975236544245,389.24797960383785,387.7592105095837
1.0200000000000005,-0.00655172267875,0.123915544336,11.2114330935,0.032602865372,0.00993114817974,0.0,-0.0398809824182,0.317707498087,2.17533709529,-0.0399900488634,-0.0524341534257,0.0,453.33980581238944,453.0947746625306,453.12988959055986,454.80094496052743
1.0800000000000005,-0.00924646283217,0.143753666066,11.3483248723,0.0311757108459,0.0233685449096,0.0,-0.0515874330401,0.343391785996,2.38728267031,-0.0520581444157,-0.0982602699357,0.0,478.2047325105021,474.698038089307,475.32604066261626,474.3993718133516
1.1400000000000006,-0.0128379572857,0.165034534605,11.4961227601,0.0281802149823,0.0176150905658,0.0,-0.0674968542521,0.365626541866,2.53901151323,-0.049159673713,-0.103762180326,0.0,458.532590022967,458.08699613926035,458.73895711786184,458.96747131046277
1.2000000000000006,-0.0172202392218,0.187537206479,11.6509811469,0.0278609094011,0.0113873523371,0.0,-0.0779583050163,0.384442683016,2.62275475245,-0.0681665599999,-0.106058627303,0.0,438.33150059980875,438.13091490918714,438.7648849632761,437.18192745874376
1.2600000000000007,-0.0222132429577,0.21127146274,11.8153974499,0.024061244599,0.0194404364346,0.0,-0.0894013334744,0.406226197792,2.85723115993,-0.075390310969,-0.065648717131,0.0,482.0776671263794,485.1148662628176,484.7951803450027,484.2487440003014
